RID,Case ID,Sentence Year,Offender ID,Sex,Age Range,Ethnicity,No. of Charges,Offense Severity Group,Type of Homicide,Type of Sentence,Presence of Witnesses,Time of Crime Commited,Sentence Imposed,Sentence Suspended,Sentence to Serve,Sentence on Probation,Amount (VVCA),Amount (FINE),Amount (REST),Amount (FSUS),Type of Offense
22096,6527757,2012.0,6546444,M,31-40,Black,2.0,D2,,Incarceration,Unknown,Evening,64.0,0.0,,0.0,300.0,0.0,0.0,0.0,Drug
14510,143392,2015.0,4910372,M,31-40,Black,1.0,D3,,Incarceration,No,Night,20.0,0.0,15.0,0.0,300.0,0.0,0.0,0.0,Drug
17388,5892669,2014.0,228984,M,51-60,Black,1.0,M7,,Long Split,Unknown,Night,24.0,6.0,12.0,12.0,300.0,0.0,0.0,0.0,Weapon
10132,2388867,2017.0,2304561,M,22-30,Black,3.0,M8,,Incarceration,Unknown,Afternoon,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Violent
23493,9812651,2012.0,3025825,M,31-40,White,3.0,D2,,Incarceration,Unknown,Evening,4.0,0.0,3.0,0.0,300.0,0.0,0.0,0.0,Drug
15485,1731060,2014.0,8405965,M,51-60,Black,16.0,M6,,Incarceration,Unknown,Morning,68.0,0.0,51.0,0.0,300.0,0.0,0.0,0.0,Violent
19005,3312922,2013.0,4025651,M,22-30,Black,1.0,,,Incarceration,Unknown,Night,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Weapon
10239,3096398,2017.0,6658585,M,18-21,Black,7.0,M3,,Incarceration,No,Afternoon,152.0,0.0,114.0,0.0,300.0,0.0,0.0,0.0,Property
23543,8023399,2012.0,9145269,M,31-40,Black,1.0,M6,,Incarceration,Unknown,Afternoon,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Violent
21056,3659656,2013.0,4468571,M,51-60,Black,1.0,M7,,Incarceration,Yes,Night,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Property
4079,2500231,2020.0,4690185,M,31-40,Black,1.0,M7,,Incarceration,No,Morning,40.0,0.0,30.0,0.0,300.0,0.0,0.0,0.0,Property
1132,7308442,2021.0,7562929,M,22-30,Black,1.0,M8,,Probation,Unknown,Evening,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Weapon
3568,4947022,2020.0,3859656,M,22-30,Black,4.0,M8,,Short Split,Unknown,Evening,16.0,9.0,3.0,30.0,300.0,,0.0,0.0,Weapon
10018,825387,2017.0,2312222,M,22-30,Black,1.0,D2,,Incarceration,No,Morning,34.666666666666664,0.0,26.0,0.0,300.0,0.0,0.0,0.0,Drug
994,1028095,2021.0,8269622,M,41-50,White,4.0,M6,,Incarceration,Yes,Afternoon,64.0,0.0,48.0,0.0,300.0,0.0,0.0,0.0,Sex
15149,4027722,2014.0,2018640,M,22-30,Black,5.0,M4,Voluntary Manslaughter,Incarceration,Unknown,Morning,144.0,0.0,108.0,0.0,300.0,0.0,0.0,0.0,Homicide
19111,7025703,2013.0,3145649,M,22-30,Black,2.0,M8,,Incarceration,No,Morning,21.333333333333332,0.0,16.0,0.0,300.0,0.0,0.0,0.0,Property
16685,4626519,2014.0,1547220,M,22-30,Black,1.0,D2,,Incarceration,Yes,Night,56.0,0.0,42.0,0.0,4500.0,0.0,0.0,0.0,Drug
1370,8878987,2021.0,4320741,M,18-21,Black,1.0,M8,,Short Split,Yes,Evening,37.333333333333336,28.0,1.0,12.0,300.0,0.0,0.0,0.0,Weapon
19226,1539058,2013.0,1934158,M,22-30,Black,2.0,M5,,Incarceration,Yes,Night,128.0,0.0,96.0,0.0,300.0,0.0,0.0,0.0,Violent
12965,5690568,2015.0,503104,M,22-30,Black,1.0,M2,Murder II,Incarceration,Unknown,Evening,272.0,0.0,204.0,0.0,300.0,0.0,0.0,0.0,Homicide
4638,6310811,2019.0,6579923,M,51-60,Black,1.0,,,Probation,Yes,Morning,,24.0,0.0,3.0,300.0,0.0,0.0,0.0,Weapon
10650,5779070,2016.0,8029483,M,18-21,Black,,M5,,Incarceration,Yes,Morning,80.0,0.0,60.0,,300.0,0.0,0.0,0.0,Weapon
8743,4843736,2017.0,2366000,M,51-60,Black,1.0,M2,Murder II,Incarceration,Unknown,Night,192.0,0.0,,0.0,750.0,0.0,0.0,0.0,Homicide
6930,7062531,2018.0,197130,M,31-40,Black,3.0,M8,,Incarceration,Yes,Evening,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Violent
2048,3548888,2021.0,9514029,M,41-50,Other or Unknown,1.0,M9,,Probation,Unknown,Evening,8.0,6.0,0.0,60.0,300.0,0.0,0.0,0.0,Other
3639,679228,2020.0,7000471,F,22-30,Black,1.0,M8,,Probation,Unknown,Night,,10.0,0.0,12.0,300.0,0.0,0.0,0.0,Violent
1086,2588796,2021.0,3072654,M,22-30,Black,1.0,,,Probation,Yes,Evening,,11.0,0.0,18.0,300.0,0.0,0.0,0.0,Weapon
6435,9037996,2019.0,1375349,M,22-30,Black,1.0,M7,,Incarceration,No,Afternoon,40.0,0.0,30.0,0.0,300.0,0.0,0.0,0.0,Weapon
978,1096720,2021.0,4290005,M,31-40,Black,1.0,M8,,Incarceration,Unknown,Night,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Weapon
22083,234471,2012.0,1491349,M,31-40,Black,1.0,,,Incarceration,Unknown,Morning,29.333333333333332,0.0,22.0,0.0,300.0,0.0,0.0,0.0,Drug
18406,9823832,2014.0,8596961,M,18-21,Black,1.0,M8,,Incarceration,No,Night,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Violent
14858,5358357,2015.0,2505922,M,18-21,Black,1.0,M8,,Probation,Yes,Evening,21.333333333333332,16.0,0.0,18.0,300.0,0.0,0.0,0.0,Violent
20446,6282966,2013.0,7476515,M,22-30,Black,1.0,M8,,Short Split,Yes,Night,10.666666666666666,6.0,2.0,16.0,300.0,0.0,0.0,0.0,Violent
20134,9591109,2013.0,5922726,M,22-30,Black,2.0,D2,,Probation,No,Morning,21.333333333333332,16.0,0.0,24.0,300.0,0.0,0.0,0.0,Drug
24228,2512466,2012.0,1665935,M,41-50,Black,1.0,D2,,Probation,Yes,Afternoon,21.333333333333332,16.0,0.0,24.0,300.0,0.0,0.0,0.0,Drug
21649,3311198,2013.0,147802,M,22-30,Black,1.0,M5,,Incarceration,No,Afternoon,,0.0,108.0,0.0,300.0,0.0,0.0,0.0,Sex
15803,3249704,2014.0,1869513,M,41-50,Black,1.0,D2,,Incarceration,Unknown,Evening,40.0,,30.0,0.0,300.0,0.0,0.0,0.0,Drug
18483,9412055,2013.0,4079078,M,22-30,Black,29.0,M6,,Incarceration,Unknown,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
19504,2967745,2013.0,9548708,,31-40,Black,1.0,M6,,Incarceration,No,Afternoon,66.66666666666667,0.0,50.0,0.0,300.0,0.0,0.0,0.0,Violent
